"reclong","reclat"
3.88444,27.51111
3.89694,27.51361
3.94694,27.52222
4.39722,27.64611
4.39722,27.64611
4.50333,27.68528
4.34611,27.67056
3.87361,27.52444
3.71028,27.47556
4.42083,27.70917
4.49722,27.67
4.3375,27.69111
4.30639,27.69472
4.19278,27.715
4.17056,27.72722
3.71306,27.51056
3.87528,27.51389
3.86556,27.51472
3.85722,27.51861
4.05556,27.56111
4.075,27.57028
4.45556,27.62194
4.18722,27.63389
4.17306,27.63361
4.14528,27.63972
4.14278,27.63917
4.12722,27.63861
4.06889,27.64278
3.91278,27.53528
3.88444,27.54222
4.27528,27.65444
4.22944,27.70056
4.20583,27.70611
4.10722,27.63139
4.16722,27.79472
4.19056,27.61667
3.98806,27.59139
3.86417,27.47417
4.04861,27.54528
4.24806,27.70806
4.48611,27.71861
4.19056,27.66583
4.01194,27.64972
3.91556,27.48333
4,27.58278
4.04139,27.63361
4.17444,27.70917
4.42028,27.6825
4.15194,27.59028
3.89806,27.52722
3.96417,27.58694
3.98528,27.60222
4.02556,27.62361
4.18361,27.68722
3.82,27.42889
3.89778,27.49083
4.01028,27.55972
4.20444,27.64556
4.25306,27.68361
3.84417,27.50806
3.96889,27.57861
3.99556,27.60056
4.09806,27.66389
4.18611,27.69972
4.245,27.6875
NA,NA
4.40139,27.59278
3.99806,27.55028
3.81611,27.55194
3.88806,27.46056
4.06117,27.5455
4.093,27.55917
3.8795,27.503
3.86983,27.50083
3.61667,27.5
3.61667,27.5
4.43333,27.73333
4.21667,27.73333
4.1,27.58333
4.03333,27.65
4.01667,27.58333
4.13333,27.73333
4.06667,27.56667
4.38333,27.65
4.43333,27.73333
4.06667,27.61667
4.26667,27.68333
4.26667,27.71667
4.2,27.55
4.3,27.58333
3.83333,27.46667
4.66278,27.59056
4.265,27.619722
4.19833,27.73333
3.81417,27.46472
4.66278,27.59056
4.3,27.68333
4.27817,27.97933
4.31433,27.84067
4.52633,27.672
4.13333,27.7
4.01667,27.76667
3.89,27.48917
3.88233,27.5005
3.781,27.58967
4.5285,27.61233
4.87467,27.50083
4.41667,27.76667
4.48333,27.7
3.76667,27.48333
3.87135,27.42958
3.70165,27.4778
4.29388,27.58163
4.51667,27.7
3.93567,27.60933
